,use_start_lng,use_start_lat
331,127.256616,36.494054
332,127.256564,36.493558
333,127.249746,36.494938
334,127.251881,36.494407
335,127.252272,36.494374
336,127.256943,36.491374
337,127.251984,36.490853
338,127.252334,36.490511
339,127.25736,36.488186
340,127.251715,36.504355
341,127.257568,36.487754
342,127.25786,36.487143
343,127.258087,36.486723
344,127.247303,36.504762
345,127.259548,36.484589
346,127.26063,36.483176
347,127.260765,36.482946
348,127.262017,36.481211
349,127.244231,36.505287
350,127.262975,36.479914
351,127.26829,36.480811
352,127.241438,36.504368
353,127.266287,36.484868
354,127.263175,36.489469
355,127.262638,36.491111
356,127.250018,36.508518
357,127.263408,36.495654
358,127.263804,36.495494
359,127.250539,36.511454
360,127.253183,36.511586
361,127.269628,36.496308
362,127.250465,36.512819
363,127.269763,36.499854
364,127.250704,36.51497
365,127.272031,36.501221
366,127.272229,36.501324
367,127.272159,36.501506
368,127.276958,36.50224
369,127.257419,36.507592
370,127.232544,36.499407
371,127.268355,36.468184
372,127.259421,36.484841
373,127.2592,36.485165
374,127.257664,36.486458
375,127.257465,36.486861
376,127.257111,36.487465
377,127.256734,36.49024
378,127.256886,36.495246
379,127.257046,36.495686
380,127.256346,36.494621
381,127.25661,36.496023
382,127.259576,36.513555
383,127.249799,36.504512
384,127.249936,36.503709
385,127.25016,36.502959
386,127.244891,36.50313
387,127.266949,36.494919
388,127.250585,36.484933
389,127.250099,36.485967
390,127.248629,36.511553
391,127.252771,36.483513
392,127.231915,36.49982
393,127.280742,36.471162
394,127.283881,36.472979
395,127.258866,36.485572
396,127.27964,36.47092
397,127.276504,36.474518
398,127.277269,36.473942
399,127.300812,36.483993
400,127.259272,36.498197
401,127.249233,36.505187
402,127.269667,36.492533
403,127.31053,36.497748
404,127.310543,36.497302
405,127.291021,36.479857
406,127.291207,36.479361
407,127.251684,36.470509
408,127.247528,36.490402
409,127.249509,36.491229
410,127.248994,36.493333
411,127.309493,36.498208
412,127.303453,36.601647
413,127.29728,36.594918
414,127.28665,36.594851
415,127.289963,36.602844
416,127.294963,36.602172
417,127.296809,36.610198
418,127.290559,36.621048
419,127.288727,36.614142
420,127.229371,36.512102
421,127.250358,36.48535
422,127.245599,36.489613
423,127.234777,36.504293
424,127.261514,36.504309
425,127.317873,36.494792
426,127.303835,36.481239
427,127.260966,36.497021
428,127.262468,36.496818
429,127.293226,36.609976
430,127.309124,36.497413
431,127.306808,36.496003
432,127.304615,36.496675
433,127.285131,36.475025
434,127.255734,36.478032
435,127.311014,36.5011
436,127.315948,36.500299
437,127.313487,36.498583
438,127.267595,36.506868
439,127.263266,36.494596
440,127.25981,36.488291
441,127.245724,36.465209
442,127.287455,36.479679
443,127.307685,36.49915
444,127.328621,36.499711
445,127.329186,36.49894
446,127.265907,36.506698
447,127.245976,36.509827
448,127.233067,36.520986
449,127.233825,36.519781
450,127.304708,36.484171
451,127.259114,36.517504
452,127.254439,36.479888
453,127.292663,36.480504
454,127.27871,36.473434
455,127.262043,36.507427
456,127.289234,36.608603
457,127.248697,36.484697
458,127.260959,36.509331
459,127.260262,36.508541
460,127.248062,36.485904
461,127.246996,36.489914
462,127.247783,36.488171
463,127.302517,36.48525
464,127.247664,36.486589
465,127.249288,36.483121
466,127.288709,36.4788
467,127.299956,36.485073
468,127.313054,36.497527
469,127.26726,36.500524
470,127.267736,36.500118
471,127.249603,36.50488
472,127.264161,36.516144
473,127.310056,36.49599
474,127.27699,36.47095
475,127.282393,36.474437
476,127.28319,36.477265
477,127.300929,36.481362
478,127.241516,36.505046
479,127.258063,36.503066
480,127.269581,36.491393
481,127.258243,36.507789
482,127.252117,36.517449
483,127.245502,36.517797
484,127.245721,36.517323
485,127.243027,36.510859
486,127.241161,36.519924
487,127.318591,36.494163
488,127.262997,36.493776
489,127.236325,36.500387
490,127.266804,36.484644
491,127.242839,36.525969
492,127.277899,36.469965
493,127.259974,36.515383
494,127.232504,36.522384
495,127.259276,36.512653
496,127.311827,36.497844
497,127.317611,36.496058
498,127.285486,36.476889
499,127.26769,36.525145
500,127.267166,36.525831
501,127.269877,36.491979
502,127.274595,36.494794
503,127.284106,36.497816
504,127.259281,36.514435
505,127.297929,36.601053
506,127.298027,36.602414
507,127.290782,36.594882
508,127.291523,36.591022
509,127.299561,36.503421
510,127.301503,36.489072
511,127.302367,36.489461
512,127.303015,36.490436
513,127.258746,36.515305
514,127.258929,36.519525
515,127.299658,36.487013
516,127.300345,36.485543
517,127.267491,36.527971
518,127.26509,36.524998
519,127.258506,36.506927
520,127.324436,36.500307
521,127.322189,36.498194
522,127.298952,36.484544
523,127.301324,36.484498
524,127.301668,36.484908
525,127.29052,36.477336
526,127.288635,36.476536
527,127.254918,36.479067
528,127.247185,36.466008
529,127.250582,36.481289
530,127.244675,36.487448
531,127.256688,36.499785
532,127.256811,36.49901
533,127.249447,36.504891
534,127.255975,36.510809
535,127.261899,36.508227
536,127.26201,36.507734
537,127.28137,36.49906
538,127.271626,36.527208
539,127.268727,36.528448
540,127.267838,36.529558
541,127.263987,36.528441
542,127.264454,36.52787
543,127.240604,36.517274
544,127.271252,36.503824
545,127.262608,36.491181
546,127.264281,36.487586
547,127.261355,36.491474
548,127.261028,36.490011
549,127.2666,36.489121
550,127.264689,36.487647
551,127.262159,36.487447
552,127.24453,36.519017
553,127.261558,36.491676
554,127.262421,36.49216
555,127.263648,36.488571
556,127.261328,36.488689
557,127.256584,36.492734
558,127.259026,36.495499
559,127.26128,36.494068
560,127.264983,36.505644
561,127.289834,36.497709
562,127.297101,36.586551
563,127.306277,36.495141
564,127.295203,36.481535
565,127.295035,36.481002
566,127.325863,36.501811
567,127.320032,36.48552
568,127.273774,36.469257
569,127.241216,36.51164
570,127.23453,36.519433
571,127.24139,36.516053
572,127.321606,36.490739
573,127.321039,36.493527
574,127.322201,36.493163
575,127.322089,36.488489
576,127.305279,36.492846
577,127.310773,36.494962
578,127.322671,36.496736
579,127.260384,36.497497
580,127.287767,36.513758
581,127.248088,36.52161
582,127.263136,36.524612
583,127.261847,36.499833
584,127.249105,36.502287
585,127.282449,36.468474
586,127.29294,36.480135
587,127.303269,36.49542
588,127.305612,36.495824
589,127.3205,36.485792
590,127.323865,36.497535
591,127.321965,36.497709
592,127.328582,36.50074
593,127.32453,36.491178
594,127.324919,36.492476
595,127.322704,36.49318
596,127.243292,36.51207
597,127.328434,36.501578
598,127.325279,36.496456
599,127.287577,36.480599
600,127.2884,36.480947
601,127.28333,36.486524
602,127.283304,36.486074
603,127.263397,36.483728
604,127.267784,36.50953
605,127.267659,36.527004
606,127.261637,36.509061
607,127.249473,36.519095
608,127.249781,36.491616
609,127.266879,36.503281
610,127.317184,36.483881
611,127.259176,36.484292
612,127.25492,36.499012
613,127.255611,36.501082
614,127.323787,36.489735
