,날짜,use_end_lng,use_end_lat,최저기온(°C),최고기온(°C),강수유무,주간/주말,대여자수
2933,1213,127.310056,36.49599,8.74,7.48,0,1,4.37
1316,1213,127.244546,36.499254,8.74,7.48,0,1,1.29
1491,1213,127.262,36.483099,8.74,7.48,0,1,16.71
1197,1213,127.263136,36.524612,8.74,7.48,0,1,1.63
2814,1213,127.263175,36.489469,8.74,7.48,0,1,12.87
1323,1213,127.239876,36.50235,8.74,7.48,0,1,9.98
2975,1213,127.299658,36.487013,8.74,7.48,0,1,7.48
1330,1213,127.239389,36.507022,8.74,7.48,0,1,7.21
1484,1213,127.302012,36.487034,8.74,7.48,0,1,0.31
2821,1213,127.269628,36.496308,8.74,7.48,0,1,-4.65
2877,1213,127.296809,36.610198,8.74,7.48,0,1,6.01
1421,1213,127.255733,36.512183,8.74,7.48,0,1,7.81
2982,1213,127.298952,36.484544,8.74,7.48,0,1,22.32
2968,1213,127.291523,36.591022,8.74,7.48,0,1,5.73
735,1213,127.251731,36.479975,8.74,7.48,0,1,2.78
2961,1213,127.269877,36.491979,8.74,7.48,0,1,8.27
2828,1213,127.276958,36.50224,8.74,7.48,0,1,-3.32
2954,1213,127.232504,36.522384,8.74,7.48,0,1,1.13
1351,1213,127.237564,36.517281,8.74,7.48,0,1,3.1
2947,1213,127.318591,36.494163,8.74,7.48,0,1,26.69
1358,1213,127.240092,36.508769,8.74,7.48,0,1,5.14
1470,1213,127.295283,36.478607,8.74,7.48,0,1,4.06
2835,1213,127.257465,36.486861,8.74,7.48,0,1,21.39
2940,1213,127.269581,36.491393,8.74,7.48,0,1,6.42
1365,1213,127.244961,36.505519,8.74,7.48,0,1,23.48
1372,1213,127.250042,36.500706,8.74,7.48,0,1,19.1
434,1213,127.255734,36.478032,8.74,7.48,0,1,5.95
1183,1213,127.273774,36.469257,8.74,7.48,0,1,16.98
2744,1213,127.273492,36.505807,8.74,7.48,0,1,-1.84
3304,1213,127.244723,36.496255,8.74,7.48,0,1,21.01
3297,1213,127.29061,36.477142,8.74,7.48,0,1,10.6
1477,1213,127.26861,36.482087,8.74,7.48,0,1,-1.37
1050,1213,127.311014,36.5011,8.74,7.48,0,1,5.73
1001,1213,127.244891,36.50313,8.74,7.48,0,1,8.17
3255,1213,127.261888,36.516176,8.74,7.48,0,1,5.83
3290,1213,127.294162,36.483599,8.74,7.48,0,1,2.6
1015,1213,127.259272,36.498197,8.74,7.48,0,1,7.6
3283,1213,127.269458,36.497987,8.74,7.48,0,1,16.09
1022,1213,127.251684,36.470509,8.74,7.48,0,1,21.78
1638,1213,127.247528,36.490402,8.74,7.48,0,1,-3.19
2667,1213,127.264431,36.498105,8.74,7.48,0,1,13.45
3276,1213,127.271983,36.502563,8.74,7.48,0,1,18.39
1029,1213,127.28665,36.594851,8.74,7.48,0,1,-0.53
3269,1213,127.261882,36.510627,8.74,7.48,0,1,14.95
1036,1213,127.250358,36.48535,8.74,7.48,0,1,2.71
1631,1213,127.249233,36.505187,8.74,7.48,0,1,15.86
2674,1213,127.244934,36.494836,8.74,7.48,0,1,4.2
3262,1213,127.259334,36.51421,8.74,7.48,0,1,12.32
1043,1213,127.262468,36.496818,8.74,7.48,0,1,4.53
1645,1213,127.289963,36.602844,8.74,7.48,0,1,8.18
1008,1213,127.280742,36.471162,8.74,7.48,0,1,7.39
1624,1213,127.283881,36.472979,8.74,7.48,0,1,7.57
2653,1213,127.264788,36.511118,8.74,7.48,0,1,14.88
3325,1213,127.265278,36.486225,8.74,7.48,0,1,2.31
